fstat	df	pvalue
1.2	20	0.2863384
1.2	21	0.2857265
1.2	22	0.2851696
1.2	23	0.2846605
1.2	24	0.2841933
1.2	25	0.2837631
1.2	26	0.2833657
1.2	27	0.2829974
1.2	28	0.2826551
1.2	29	0.2823362
1.2	30	0.2820384
1.3	1	0.4583627
1.3	2	0.3723541
1.3	3	0.3369988
1.3	4	0.3178487
1.3	5	0.3058677
1.3	6	0.2976733
1.3	7	0.2917183
1.3	8	0.2871963
1.3	9	0.2836462
1.3	10	0.2807854
1.3	11	0.278431
1.3	12	0.2764595
1.3	13	0.2747848
1.3	14	0.2733444
1.3	15	0.2720924
1.3	16	0.2709942
1.3	17	0.270023
1.3	18	0.269158
1.3	19	0.2683828
1.3	20	0.267684
1.3	21	0.2670509
1.3	22	0.2664746
1.3	23	0.2659478
1.3	24	0.2654644
1.3	25	0.2650193
1.3	26	0.264608
1.3	27	0.2642269
1.3	28	0.2638727
1.3	29	0.2635428
1.3	30	0.2632346
1.4	1	0.4466996
1.4	2	0.3583111
1.4	3	0.3219462
1.4	4	0.3022416
1.4	5	0.2899109
1.4	6	0.281476
1.4	7	0.2753455
1.4	8	0.27069
1.4	9	0.2670349
1.4	10	0.2640892
1.4	11	0.2616649
1.4	12	0.2596349
1.4	13	0.2579103
1.4	14	0.2564271
1.4	15	0.2551378
1.4	16	0.2540068
1.4	17	0.2530067
1.4	18	0.252116
1.4	19	0.2513176
1.4	20	0.2505979
1.4	21	0.2499459
1.4	22	0.2493524
1.4	23	0.2488099
1.4	24	0.248312
1.4	25	0.2478536
1.4	26	0.24743
1.4	27	0.2470375
1.4	28	0.2466727
1.4	29	0.2463329
1.4	30	0.2460155
1.5	1	0.4359058
1.5	2	0.3453463
1.5	3	0.308068
1.5	4	0.2878641
1.5	5	0.2752197
1.5	6	0.2665697
1.5	7	0.2602827
1.5	8	0.2555082
1.5	9	0.2517595
1.5	10	0.2487384
1.5	11	0.2462521
1.5	12	0.2441701
1.5	13	0.2424013
1.5	14	0.24088
1.5	15	0.2395577
1.5	16	0.2383978
1.5	17	0.237372
1.5	18	0.2364584
1.5	19	0.2356396
1.5	20	0.2349015
1.5	21	0.2342328
1.5	22	0.233624
1.5	23	0.2330676
1.5	24	0.232557
1.5	25	0.2320868
1.5	26	0.2316523
1.5	27	0.2312498
1.5	28	0.2308756
1.5	29	0.2305271
1.5	30	0.2302016
1.6	1	0.4258758
1.6	2	0.3333333
1.6	3	0.2952289
1.6	4	0.2745766
1.6	5	0.2616518
1.6	6	0.2528101
1.6	7	0.246384
1.6	8	0.241504
1.6	9	0.2376726
1.6	10	0.2345849
1.6	11	0.2320438
1.6	12	0.229916
1.6	13	0.2281083
1.6	14	0.2265536
1.6	15	0.2252022
1.6	16	0.2240168
1.6	17	0.2229686
1.6	18	0.2220349
1.6	19	0.2211982
1.6	20	0.2204439
1.6	21	0.2197605
1.6	22	0.2191384
1.6	23	0.2185698
1.6	24	0.218048
1.6	25	0.2175675
1.6	26	0.2171236
1.6	27	0.2167122
1.6	28	0.2163299
1.6	29	0.2159737
1.6	30	0.2156411
1.7	1	0.4165216
1.7	2	0.3221656
1.7	3	0.2833148
1.7	4	0.2622607
1.7	5	0.2490861
1.7	6	0.2400746
1.7	7	0.2335257
1.7	8	0.2285527
1.7	9	0.2246486
1.7	10	0.2215026
1.7	11	0.2189135
1.7	12	0.2167457
1.7	13	0.214904
1.7	14	0.2133202
1.7	15	0.2119435
1.7	16	0.210736
1.7	17	0.2096681
1.7	18	0.2087171
1.7	19	0.2078647
1.7	20	0.2070964
1.7	21	0.2064003
1.7	22	0.2057667
1.7	23	0.2051875
1.7	24	0.2046561
1.7	25	0.2041667
1.7	26	0.2037145
1.7	27	0.2032955
1.7	28	0.2029061
1.7	29	0.2025434
1.7	30	0.2022046
1.8	1	0.4077692
1.8	2	0.3117528
1.8	3	0.2722284
1.8	4	0.2508154
1.8	5	0.2374193
1.8	6	0.2282581
1.8	7	0.2216014
1.8	8	0.2165473
1.8	9	0.2125799
1.8	10	0.2093831
1.8	11	0.2067525
1.8	12	0.2045501
1.8	13	0.2026791
1.8	14	0.2010701
1.8	15	0.1996717
1.8	16	0.1984451
1.8	17	0.1973604
1.8	18	0.1963945
1.8	19	0.1955287
1.8	20	0.1947484
1.8	21	0.1940414
1.8	22	0.1933979
1.8	23	0.1928097
1.8	24	0.19227
1.8	25	0.191773
1.8	26	0.1913138
1.8	27	0.1908883
1.8	28	0.1904929
1.8	29	0.1901245
1.8	30	0.1897805
1.9	1	0.3995555
1.9	2	0.3020176
1.9	3	0.2618861
1.9	4	0.2401535
1.9	5	0.2265622
1.9	6	0.2172699
1.9	7	0.2105195
1.9	8	0.2053951
1.9	9	0.2013731
1.9	10	0.1981328
1.9	11	0.1954666
1.9	12	0.1932346
1.9	13	0.1913386
1.9	14	0.1897083
1.9	15	0.1882914
1.9	16	0.1870486
1.9	17	0.1859498
1.9	18	0.1849712
1.9	19	0.1840942
1.9	20	0.1833037
1.9	21	0.1825875
1.9	22	0.1819357
1.9	23	0.1813399
1.9	24	0.1807933
1.9	25	0.1802899
1.9	26	0.1798248
1.9	27	0.1793939
1.9	28	0.1789934
1.9	29	0.1786203
1.9	30	0.1782719
2	1	0.3918266
2	2	0.2928932
2	3	0.2522155
2	4	0.2301996
2	5	0.2164372
2	6	0.2070312
2	7	0.2002001
2	8	0.1950155
2	9	0.1909471
2	10	0.1876699
2	11	0.1849737
2	12	0.1827168
2	13	0.1807999
2	14	0.1791517
2	15	0.1777194
2	16	0.1764632
2	17	0.1753525
2	18	0.1743635
2	19	0.1734771
2	20	0.1726783
2	21	0.1719546
2	22	0.171296
2	23	0.1706939
2	24	0.1701416
2	25	0.1696329
2	26	0.169163
2	27	0.1687276
2	28	0.168323
2	29	0.1679461
2	30	0.1675941
2.1	1	0.3845358
2.1	2	0.2843219
2.1	3	0.2431537
2.1	4	0.220888
2.1	5	0.2069767
2.1	6	0.197473
2.1	7	0.1905732
2.1	8	0.1853379
2.1	9	0.1812306
2.1	10	0.1779226
2.1	11	0.1752016
2.1	12	0.1729242
2.1	13	0.1709902
2.1	14	0.1693274
2.1	15	0.1678826
2.1	16	0.1666155
2.1	17	0.1654953
2.1	18	0.1644978
2.1	19	0.163604
2.1	20	0.1627984
2.1	21	0.1620687
2.1	22	0.1614046
2.1	23	0.1607976
2.1	24	0.1602407
2.1	25	0.1597279
2.1	26	0.1592541
2.1	27	0.1588152
2.1	28	0.1584073
2.1	29	0.1580274
2.1	30	0.1576726
2.2	1	0.3776427
2.2	2	0.2762531
2.2	3	0.2346457
2.2	4	0.2121607
2.2	5	0.1981212
2.2	6	0.1885346
2.2	7	0.1815772
2.2	8	0.1762999
2.2	9	0.1721607
2.2	10	0.1688278
2.2	11	0.1660868
2.2	12	0.163793
2.2	13	0.1618454
2.2	14	0.1601711
2.2	15	0.1587164
2.2	16	0.1574408
2.2	17	0.1563132
2.2	18	0.1553092
2.2	19	0.1544096
2.2	20	0.1535988
2.2	21	0.1528645
2.2	22	0.1521962
2.2	23	0.1515854
2.2	24	0.151025
2.2	25	0.150509
2.2	26	0.1500324
2.2	27	0.1495908
2.2	28	0.1491805
2.2	29	0.1487982
2.2	30	0.1484413
2.3	1	0.371112
2.3	2	0.2686425
2.3	3	0.2266427
2.3	4	0.2039668
2.3	5	0.1898181
2.3	6	0.1801622
2.3	7	0.1731576
2.3	8	0.1678464
2.3	9	0.1636819
2.3	10	0.1603294
2.3	11	0.1575729
2.3	12	0.1552666
2.3	13	0.1533086
2.3	14	0.1516256
2.3	15	0.1501636
2.3	16	0.1488817
2.3	17	0.1477486
2.3	18	0.1467398
2.3	19	0.145836
2.3	20	0.1450215
2.3	21	0.1442838
2.3	22	0.1436125
2.3	23	0.1429991
2.3	24	0.1424362
2.3	25	0.1419181
2.3	26	0.1414394
2.3	27	0.140996
2.3	28	0.1405839
2.3	29	0.1402001
2.3	30	0.1398417
2.4	1	0.3649126
2.4	2	0.2614511
2.4	3	0.219102
2.4	4	0.1962612
2.4	5	0.1820208
2.4	6	0.1723083
2.4	7	0.1652661
2.4	8	0.1599285
2.4	9	0.1557446
2.4	10	0.1523776
2.4	11	0.1496097
2.4	12	0.1472943
2.4	13	0.145329
2.4	14	0.14364
2.4	15	0.1421729
2.4	16	0.1408868
2.4	17	0.1397501
2.4	18	0.1387382
2.4	19	0.1378316
2.4	20	0.1370148
2.4	21	0.136275
2.4	22	0.1356018
2.4	23	0.1349867
2.4	24	0.1344224
2.4	25	0.1339029
2.4	26	0.133423
2.4	27	0.1329784
2.4	28	0.1325654
2.4	29	0.1321806
2.4	30	0.1318214
2.5	1	0.359017
2.5	2	0.254644
2.5	3	0.2119854
2.5	4	0.1890037
2.5	5	0.1746878
2.5	6	0.1649303
2.5	7	0.1578593
2.5	8	0.1525023
2.5	9	0.1483047
2.5	10	0.1449276
2.5	11	0.1421522
2.5	12	0.1398311
2.5	13	0.1378613
2.5	14	0.1361688
2.5	15	0.1346988
2.5	16	0.1334103
2.5	17	0.1322717
2.5	18	0.1312582
2.5	19	0.1303503
2.5	20	0.1295323
2.5	21	0.1287916
2.5	22	0.1281176
2.5	23	0.1275017
2.5	24	0.1269368
2.5	25	0.1264168
2.5	26	0.1259364
2.5	27	0.1254914
2.5	28	0.125078
2.5	29	0.124693
2.5	30	0.1243334
2.6	1	0.3534011
2.6	2	0.2481906
2.6	3	0.205259
